ConversationID,Q,A,SecondBestAnswer,ThirdBestAnswer,FourthBestAnswer,FifthBestAnswer,SixthBestAnswer
4,Yeah I was just watching documentaries. It's just my thing watching documentaries about like different types of laws in different regions. So I like was currently watching one about... I think it's somewhere in California. If I'm not mistaken there was a clause. I think it's forty nine where they lessen the... Basically people are no longer afraid of being caught with meth. So like the whole city is like a capital of meth. So what do you feel about that? Does that change what you previously said?,That... I never heard about that before. So it doesn't really change what I think about it. It depends again on what the research out there says if it's comprehensive on the effects of such drugs. If such drugs are still not researched I think they they shouldn't be legal because it could be very dangerous.,,,,,
4,I never asked about your major?,Yeah I'm a music major and economics minor.,I'm a music major and economics minor.,I study music and economics. I'm a music major economics minor and in music I do mostly composition and sound engineering.,So I majored in music but I minored in economics. I was gonna double major.,,
4,Mm hmm. How is it here music in like this region? Do you find it's different?,Do you mean the music sound in this region or the music industry in this region?,"I think Arabic music is very intricate and it sounds exotic to me... Because I do not know that much about it, but I think it is very rich and beautiful.",,,,
4,"I feel like both, but mostly how it sounds.","So of course the music in this region has this, for lack of better words, Oriental sound. You know the scales, a lot of the half steps in between (music term) and I've mostly focused on Western music and classic music and electronic music. So since I don't speak Arabic I don't really listen to a lot of music from here. And since I've grown in, you know, around other types of music it's harder for me to accustom my ear to this. But yeah I like how it sounds when I hear it.","I think Arabic music is very intricate and it sounds exotic to me... Because I do not know that much about it, but I think it is very rich and beautiful.",,,,
4,How do you feel like your perspective or like your values or like you as a person has changed since you first came here?,"So it's a great question. I feel like I've definitely become more tolerant and accepting. I always used to think that I'm also tolerant and I'm so much better than other people, I'm so open minded. But it's crazy looking at my freshman year and finding out that I actually was quite judgmental and I had some preconceptions about other nationalities and about feminism and about things like that. So I feel like I'm kinder and I'm way more intelligent.","I guess we all come with some preconceptions. Mine I feel are more subconscious because I consciously try to be accepting and tolerant and be like ""Not better, not worse, just different"" you know. But on a subconscious level I think there might be still some, you know, preconceptions of when I see someone, by their looks I might assume their status or something and I try not to think like that. A thing that I improved on during the years, when it comes to my mentality, is about feminism and not judging other women. Because I was like... I was quite judgmental and I didn't know. I didn't know I'm judgmental. I thought, for example, like if somebody didn't shave their legs I would notice and be like ""wow"", you know, ""they don't care"", but it only took me later to realize this internalized misogyny that I'm forcing on myself and others.",,,,
4,So what did you think feminism was before you came here?,"So before I wasn't really a feminist yet, I didn't know what it was. I had no idea that I'm disadvantaged in any type of way. And right now I've noticed that actually you know as a woman it's harder to achieve a few things. Some things of course at university level or at an entry level jobs you don't see it that much, but when you look at who are the CEOs of the biggest companies you know it's always men because you know there were men before they still recruit men and it's a cycle that it's really hard to break. But look at all the presidents of the US still no woman president. It's crazy.",,,,,
4,"I think especially here it's very prevalent like I was doing research about like how they're implementing gender inequality laws to reinforce like you know equality I guess in the workplace. But last year they had gender equality awards and all of those awards were won by men. So there was controversy because you finally have these awards and won by men. How about like your perception of like religion, like are you religious or?","So I'm agnostic I think. I was brought up Christian Orthodox like most people in my country. And I find religions beautiful because I see that power for them to unite people. But I sometimes know it's also dangerous because of people misusing it. So many of my closest friends are very religious and the community they build through it and the values they get from it is amazing. But sometimes when it's used as a political weapon, that kind of scares me and it disappoints me.",I used to be. My family is religious. They are Christian Orthodox and all of them still believe and I am departed of this since I was 13. I am a little bit more agnostic as I'm sure there's some bigger.. Higher being. There's something we don't understand. But I just disagree. I refuse to believe in religious books because I believe that's just people who wrote them.,,,,
4,Did change like after coming here and being being exposed to like so many other types of religions?,"No I think I used to be religious until I was 14 and then something happened, like I started watching documentaries and I kind of thought I ""wait a minute, doesn't really make sense to me, some things like facts"" and all that I became rebellious and all that but now I definitely have more knowledge and understanding and I see how similar all religions are. Before I had the concept that the religions are crazy different. Now I understand that they're all so similar and even the holy days happen very close to each other. I mean I understand that Islam has more of a lunar calendar and Christianity is more about the sun but it's still built around the same thing.",,,,,
4,And I think at the end it all preaches the same. I just wanna know like what did you think of like when you first heard about Ramadan?,"Ahh I was just surprised, I didn't know much about it before and I was like okay, cool, a new thing. I was really confused that in Abu Dhabi you can't drink or eat in public especially since my other Muslim friends also say that in their countries they don't have that either.",,,,,
4,"So that's like one of the things I just don't agree with. I think the whole concept of Ramadan is like feeling what the less privileged feel, and so they're not guarded. They don't have boundaries like they see other people eating other people enjoying and they just don't have expenses to like fulfill what they want either. So it really does defeat the purpose which is why I don't understand.","Yeah. And of course I believe that you should be respectful and you know we should be taught that you know always if someone's fasting be nice, don't eat in front of them. But when it's when made a law I'm just I feel it's weird.",,,,,
4,Yeah because I think it makes people uncomfortable as well. Like if someone is restricting themself from eating in front of me and like I feel bad because I. Like I'm doing this for my own purpose. Like I don't like when a whole community like especially on this campus like when the whole like NYUAD community is now restricted from eating freely in the marketplace having drinks in class like you know people have conditions they have to. Yeah. So like if you're doing it you do it for yourself. Yeah I guess I'm just gonna... What else can I ask?,You can ask about my family. You can ask about my romantic life. You can ask about my passion.,So you can ask me about my family or my career plans or the sports that I like or anything.,You can ask me about my family or about my passions. Anything you want.,You can ask about my family or my passions or my hobbies or my fears.,You can ask me about my favorite food or my friends or my family.,You can ask me about sports that I like. Or you can ask me about...
4,Yes I think... How is your romantic life. Or like your perception of it changed from being off campus to on campus. Because I think on campus like all kinds of relationships are really like on steroids. Like the smallest like a very small conflict here just blows up and off campus like it wouldn't be that much of a deal. Like have you experienced things like these?,On campus I feel like relationships are very sped up and they become serious way quicker because you're around all the time and you accidentally almost spend way more time with a person than you should. And then people even move in with each other at the beginning. But to be honest I don't think it's a bad thing. I feel like it's just speeding up the learning process. You learn way faster. Who is not right for you.,,,,,
4,But then I feel like all those small phases in the beginning like you don't really get to experience those.,"Maybe not, but then you will be able to experience that in the future and appreciate it. Of course I don't think it's an ideal environment for creating long term relationships, but I feel like any type of learning experience is a good learning experience.",,,,,
4,So do you think the a campus being isolated on a separate island is like a good idea?,"I don't think it's necessarily a bad idea. In this context it makes sense because where else would they have built such a huge campus? They needed space I assume and then they're building a city around it right now, it will take time, but they will build it.",,,,,
4,Didn't it use to be in the city?,"It did, it did. Right? So but then they build the campus because the university needed to expand and they needed more facilities. But I am neutral about it. Some people like it some people don't. It's I feel like it's almost a half 50/50 preference rate.",,,,,
4,How about the apartments and the offices being built in front?,What do you mean?,,,,,
4,"Like how do you feel about that, like, I know you're graduating but like had you been like a freshman or like a sophomore when these offices or these apartments are built like right in front of campus like does that change things?",Why would having apartments be bad around. Is it like crowding it out?,,,,,
4,No I think it's like this campus is already very open on its own and like we already have like an endless amount of strangers coming onto campus like they's always like incidents accidents things that happen that could be prevented. And I think it's like really it's very odd I think because like being here for two years and it's like isolated and then and you can see in the near future that there are gonna be like a ton of people but always coming in and off campus.,"But I feel like it's the same thing with other universities, you know. There is some restriction of who can enter, but otherwise if it's a guest it's fine. I guess having it more closed would be weird. Because right now as well nobody can enter residences unless you're signed in. They locked out those doors on the side so nobody can sneak. The non main doors to campus entrance are mostly blocked.So I feel like they're taking that into account and doing more would be overkill.",,,,,
4,What's been the most memorable thing from being just here?,"So maybe it's because it's been so recent. But the graduation was spectacular and my family was here and saying good bye to friends and all that. I've also loved of course all the study abroad experiences, they have changed me so much.","I love being an RA! In junior year I thought I really really wanted to be an RA and I was really really hung on this idea. When I applied I was thinking about it so much and then I got it and it was exactly what I expected it to be. It's a lot of responsibility, but also a lot of love that comes with it because when you're there for your residents and you're supportive that kind of bounces back and gets back to you. And I just love being part of the community and being able to improve it directly.",,,,
4,Where did you go?,"I've been to New York, Buenos Aires, Paris and Shanghai.",I studied abroad in New York and Buenos Aires and I did J-terms in Paris and Shanghai.,For my study aways I've been to Buenos Aires and New York.,,,
4,Where did you go for the semester?,Buenos Aires and New York.,I studied abroad in New York and Buenos Aires and I did J-terms in Paris and Shanghai.,For my study aways I've been to Buenos Aires and New York.,,,
4,How was New York?,New York is lovely. It's my favorite place.,"I feel like New York is very vibrant. Everything is happening there. It's the hub of music, both the music industry and the finance world. Exactly and just I love the architecture. It's very it's quite futuristic even though some people might say it's dirty in some places but I love that it's always awake and people aren't overly polite nor actually overly rude because Eastern Europeans are quite cold in general. So I felt like it was a great balance. And there are many many people and so many diverse people and languages and so many cultures.","New York was definitely my most favorite place on earth and that's why I hope that in the future I'll be able to go back but I will have to sort out the visa issue and all that because I have... hum, I am a citizen of Moldova which is not the European Union so it will be tough to get a visa.",,,
4,Out of all of them?,Yes. Do you want me to tell you why?,Exactly.,Yes.,,,
4,Yeah.,So I feel like New York is very lively and something is happening all the time and there is such a big diversity of people. And it's just there's always something to do. So I'd really love to live somewhere like that so that I can also achieve my ambitions with lots of energy.,"I feel like New York is very vibrant. Everything is happening there. It's the hub of music, both the music industry and the finance world. Exactly and just I love the architecture. It's very it's quite futuristic even though some people might say it's dirty in some places but I love that it's always awake and people aren't overly polite nor actually overly rude because Eastern Europeans are quite cold in general. So I felt like it was a great balance. And there are many many people and so many diverse people and languages and so many cultures.","New York was definitely my most favorite place on earth and that's why I hope that in the future I'll be able to go back but I will have to sort out the visa issue and all that because I have... hum, I am a citizen of Moldova which is not the European Union so it will be tough to get a visa.",,,
4,Because like now it's like your postgrad period. I know we've talked about a bit but like do you actually see yourself staying in this country for a longer time?,"I do, but not forever. I don't see myself staying forever in any place ever. I just I am free bird. I would love to bring my parents here or anywhere I go but in the UAE I'd definitely stay for like five years. I love especially Dubai.",Sure!,Yes.,,,
4,I was going to ask any city specific?,Yes Dubai because Abu Dhabi is more of a family place and I don't plan to start that too soon and the other cities or Emirates are conservative. So it would be hard for me to fit in. So Dubai seems like the place.,,,,,
5,What's your name?,My name is Margarita!,I am Margarita.,"So my name is Margarita, I am from Moldova and I study music and economics.",,,
5,Nice to meet you Margarita!,Nice to meet you too!,Nice to meet you too.,Nice to meet you too,,,
5,What did you study here?,I study music and economics.,I'm a music major and economics minor.,I study music and economics. I'm a music major economics minor and in music I do mostly composition and sound engineering.,So I majored in music but I minored in economics. I was gonna double major.,,
5,Were they both your majors?,So I majored in music but I minored in economics. I was gonna double major.,I'm a music major and economics minor.,Oh so I am a music major and economics minor.,,,
5,But you didn't.,I didn't double major. Do you want me to tell you why?,So economics is my minor. It would have been originally a double major. But I did not have time to complete everything so I had to choose. But I mainly did economics because first of all I wanted to have a plan B. And second of all I always loved mathematics so it seemed natural that my Plan B could be something lucrative and that involves my passion.,,,,
5,What was the reason?,I was a bit behind on credits from my economics major and I was supposed to take a summer class. But I also had an internship opportunity in New York and I had to choose. So I chose the internship in New York over the major.,So economics is my minor. It would have been originally a double major. But I did not have time to complete everything so I had to choose. But I mainly did economics because first of all I wanted to have a plan B. And second of all I always loved mathematics so it seemed natural that my Plan B could be something lucrative and that involves my passion.,,,,
5,You think that was worth it?,"I think it was worth it because I took so many classes in economics that I have the knowledge and I can tell people just ""oh I studied music and economics"". I don't have to delve into what's a major and minor. People outside of this university don't know what that is anyway so as long as I have the expertise I'm not lying that I studied music and economics.",Yes.,Sure!,,,
5,So I'm assuming that you think that expertise and knowledge is more important than what there is on your transcript as if like major or minor. As long as you have the expertise that there's no real need for that major thing to be on your transcript?,Exactly. I mean the major is very important as well. But when you have more than one thing it's always better. I think of course we live in a world in which the university degree is important for your career. So that's why I'm here.,Exactly I could do anything.,Yes. Yes exactly. Exactly.,Yes. That's why I'm studying it.,,
5,"Oh. Nice. So what do you think you'll be doing after graduation? You graduated but like say in one year, what do you think you'll be doing? What do you feel your career will look like?",I hope to maybe work in consulting. Right now I'm applying for jobs. I'm still interviewing. So maybe working in transfer pricing. Tax would also be fun.,"I'm planning to go to grad school in New York, with the only grad school I'm applying and I do not see my future in Moldova. I see myself maybe passing through from time to time to see my family and friends but I would rather bring my family my small family of four people with me abroad than have to come back home.",,,,
5,Oh good. So you're using you're drawing more on your economists knowledge than your music.,Exactly. Because I realize the music industry is not as fun as I used to thing. Every summer from freshman year until junior year I did three summers and every year I would do an internship in a better recording studio. And once I got to the pinnacle of my achievements I realized that the industry is quite messed up. So maybe in the future I'll be able to change it. But right now I don't want to participate in it. According to the rules that are set now.,Exactly.,Yes. Yes exactly. Exactly.,,,
5,Oh OK. What do you think you'll be doing in 10 years?,"In 10 years I hope to have my own business. I definitely want to contribute to the world in a way, I am very passionate about climate change, overpopulation issues, philanthropy in general. So I hope to be a businesswoman and have an impact on the world.",I was thinking of getting an MBA - Masters of Business Administration - so I could combine my music and econ knowledge and hopefully restructure the music industry of Moldova in the future. So an MBA would help me a lot.,,,,
5,So you came here four years ago of as a freshman. Do you think... Do you think you accomplished or got to where you wanted to be or the goals you set before you came here?,"Yes. Actually I think so. It's a crazy thing. In the freshman year we were all made to write a letter to your senior self and I was shocked to see how many of the things that I've already done were actually in the back of my mind and I mentioned them! I was like ""woah l I actually did all these things"", but I did even more than I expected of myself. But you know it feels like sometimes when you reach a certain point you almost feel like ""oh I could have done better"". So even though technically I did everything I want to do I still feel like there's room for improvement.",,,,,
5,Okay. Okay. If you repeated your four years of NYUAD what would you change?,I would have taken a computer science class earlier. Literally I would have taken it in my freshman year. Maybe I would have made it my minor or my major. I took it in my junior year and that was quite late.,,,,,
5,So that's one thing.,Yes. And definitely I would have repeated the same mistakes because I've learned from my mistakes.,,,,,
5,What made you come to NYUAD in the first place?,"So my brother knew another Moldovan student that was going here. And he was graduating and it was my time to apply so he was in Moldova in my home country and I was there too, so I was able to ask him all this question and he told me that this university gives you a full scholarship and that the people are so amazing here. And that the education is good quality, you get to travel and that the UAE is super safe. He broke all the stereotypes so it seemed like the place for me and it's an American institution, it's in English and I really wanted to study abroad.","My brother used to know somebody who went here because they went through the same exchange program and actually my brother wanted to go here first, but my parents were afraid of the situation in the Middle East. As religious Eastern European middle aged parents they did not know that much about the Middle East and they were worried about their kids, but once that guy graduated and it was my time to fly I got to ask him all the questions and I knew that it's safe and it's actually a great place to be so...",,,,
5,Okay. OK. What would you look like had you not come to NYUAD?,"Oh I don't even want to think about it cause my whole identity revolves about having grown in these for years at NYUAD and all these countries where I've been through this crazy university. I feel like maybe I would have been somewhere in Romania because that's a go to for a lot of Moldovan students. Maybe studying something like languages. Being an interpreter, translator, maybe studying law. Maybe being somewhere in Europe, but definitely I would not stay in Moldova.",,,,,
5,Okay so you wanted to come out of your country.,"Yes. I've been in the U.S. for an exchange year before for one year and I loved that, so after I finished high school I wanted to replicate that.",Yes. I've actually had an exchange year abroad before Abu Dhabi. I've been... I lived in Wisconsin for a year and after studying at NYU Abu Dhabi I got a chance to study abroad in Buenos Aires and New York for a semester each and then I did a month in Paris and a month in Shanghai.,,,,
5,Well. What was the reason for you not to stay in your country or want to go out?,"Moldova is the poorest country in Europe by GDP per capita and there are limited opportunities. And because of that people are also kind of miserable and because of that they're not that polite and they're not that optimistic and you know it's an environment that I didn't want to be in. The people are lovely but the socio-economic situation is so bad. It's not an environment you can blossom in. And my parents since I was very young they instilled this idea ""you're going to leave, you're going to go to a better place and then in the end you're going to take us with you"". So it was never even in my mind to stay, ever. But now I'm having these ideas that maybe in the future I should come back and actually make a change because now I'm becoming less selfish and thinking only about my family. I know that I'll be able to support my family. I'm very confident that I'll be successful. So I'm like, ""hmm maybe now I can be also meaningful as opposed to only successful"".",The thing is Moldova is the poorest country in Europe. So you could say that I am from a hardcore developing country and I lived most of my life there. So my grandma doesn't even have a toilet. You just go behind the house and I'm so comfortable with that. If I was ever to become rich and then lose everything I wouldn't be even close to depressed because I know what it's like to start from nothing. So I'm lucky you could say.,,,,
5,OK. So do you envision yourself going back to your country as part of your professional career?,Maybe in the future. Not now for sure. But maybe in ten years. Yes.,,,,,
5,OK. Do you think there is such a thing as giving back to your country or do you feel like a responsibility to go back and give back to your country? Personally?,"I personally have that responsibility, but I don't feel like everybody should feel that way. In the end it's like we're living on one planet and you can make home anywhere you go. And the only thing that differentiates us really from the other people in other countries is where you're born and that's it. So every country is trying to take care of their citizens but some are failing and I feel like it's almost a little bit of propaganda. The governments are trying instill so that people don't leave their country if they don't like it. That you know that you should stay and give back. I mean if if a country is doing nice things for you... What is a country? It's like if the community is doing nice things for you and loves you at least, is trying to push you up, then of course you feel a sense of duty that you should give back, but nobody owes anyone anything just because they were born in a certain spot. That's what I believe.",,,,,
5,OK. OK. So it's out of niceness of your heart.,"That's nice of you to say. I'd love to believe that I'm kind and altruistic. I don't know if... I don't know if I'm altruistic, you know, there's actually this debate that even altruism can be selfish because maybe you're just doing it so that you feel better or maybe you're doing it for the image of it or maybe... I don't know. I'd like to believe that I'm kind and that I'm driven by this set of values that isn't selfish. I would love to believe that.",,,,,
5,What about your parents? You said they always wanted you to go outside of your country and then take them with you later. How else do you think they have influenced you as part of growing up?,"So lately I've been thinking that my mother specifically is so empathetic and that it's not normal for everyone to be so empathetic. I didn't know she's so special until I saw other moms. And she's a doctor as well. So I think she's indirectly taught me empathy. She never said ""oh, you must be empathetic"". She just showed it to me. And now I'm like that too so I really care. My dad has taught me generosity. Every time I would ask for something like ten dollars, he's gonna give me 15. I swear to God he always does that and he gets so much pleasure out of it. And I definitely want to be like that too because I'm a little bit think stingy with my money I guess because of my financial insecurity, like I want to be secure. But I want to be generous and kind. And my brother is very very ambitious and he's five years older and I'm taking after him.","Oh so my mom keeps telling me ""first get a career and then family"". She's like from my very childhood she kept saying that. She says she doesn't want me to depend on anyone. Lately I've been also kind of all these weird ideologies to my mom because I'm like sooner or later she has to find out but my alternative lifestyle of thinking ""maybe not having kids"" or ""maybe having kids"". Not saying that I'm not going to have kids. But I'm saying there's a possibility, mom. My self-worth is not equal, is not determined by whether I have kids. And she's kind of getting used to this idea. But she's really hoping that it's a phase and it will go away.","I love my mom. She is actually surprisingly a close friend to me. She's way more open minded than most of the moms that I know at this age and growing up in such a conservative country. And she's very empathetic and she's very very kind. So I kind of learned that from her as a second hand effect. She never preached it to me. So I really admire her and love her and I just want to find a way to pay her back somehow. But she also loves control and it's sometimes annoying, when she's like ""put on some makeup"" and I'm like ""No I'm beautiful this way"".",,,
5,How many siblings do you have?,I have one older brother.,I have a brother.,I have a sibling. He is five years older. He is a computer scientist and he lives in Moldova.,"Sooo... my family consists of four people. Me, my mom, my dad, and an older brother. And yes I have a sibling. He's five years older than me and he is a computer scientist and he is still in Moldova.","So my family consists of four people. It's my mom, my dad and my brother. My brother is five years older and he is a computer scientist and he's in Moldova right now.",
5,Five years older you say?,Yes he's five years older. He is a software engineer. He is also trying to build his company although in Moldova that's really hard. So he might have to readapt and maybe go back into the job market. But yes right now he's left his job to try to start a company.,Exactly.,Yes.,,,
5,In Moldova?,Yes.,,,,,
5,OK! If you could describe your country in a few short sentences. What would you say?,So Moldova has a great climate. We have four seasons. It's amazing because we speak two languages from the very get go. And we have really hot girls.,"In Moldova we have all types of weather. We have four seasons and it gets from minus 20 degrees Celsius to 40. So we have a huge range and we experience all seasons - Summer, Fall, Winter, Spring. So I miss that.",Moldova borders Romania and Ukraine. And Moldova... We used to be part of Romania before it was also colonized by Russia and then we got united back to Romania and then was kind of the Soviet Union. So now we do speak both Romanian and Russian.,So Moldova is a tiny country landlocked between Romania and Ukraine and it used to be part of Romania as well as part of the Soviet Union later. So now we speak two languages - Romanian and Russian.,,
5,What else can we ask you?,"You can ask me about my passions, you can ask me about my family, you can ask me about preferences in food, in countries. You can ask me about my friends, you can ask me about my fears, anything.",So you can ask me about my family or my career plans or the sports that I like or anything.,You can ask me about my family or about my passions. Anything you want.,You can ask me about my favorite food or my friends or my family.,You can ask me about sports that I like. Or you can ask me about...,
5,What would you miss most about NYUAD?,"So as the graduation speaker said after this university being in such a diverse environment where people are so accepting and nice and intelligent, after you go out in the world there's not such a concentrated community of this type of people anymore. So I'm actually terrified of that. I don't know. I'll really miss being surrounded by spectacular, brilliant people all the time. And I'll miss my friends a lot. And I think I'll miss studying as well. I love studying. But I'm also tired of it. I want to go into the world, but I know I'll miss it.","Oh I don't even want to think about it cause my whole identity revolves about having grown in these for years at NYUAD and all these countries where I've been through this crazy university. I feel like maybe I would have been somewhere in Romania because that's a go to for a lot of Moldovan students. Maybe studying something like languages. Being an interpreter, translator, maybe studying law. Maybe being somewhere in Europe, but definitely I would not stay in Moldova.","I feel like I've grown so much at NYUAD. I've also grown accustomed to meeting good quality people all the time. And I feel so privileged to have all the resources both on campus and to travel abroad and learn there. So I feel like I've grown so much, but I also feel really grateful because it feels like it's not my merit. I feel like I'm very blessed.",,,
5,OK. OK. So you'll miss studying.,Yeah. That's crazy. But can you imagine not having to worry about food then getting to travel and just you know just enriching your knowledge. Messing around. Yeah.,Exactly.,"Haha! Exactly, you heard me well.",,,
5,Where did you take your study away semester?,I studied abroad in New York and Buenos Aires and I did J-terms in Paris and Shanghai.,For my study aways I've been to Buenos Aires and New York.,Buenos Aires and New York.,,,
5,Oh nice. What was the most interesting or your most enjoyable course you took at NYUAD?,Do you mean just at the NYUAD campus or across?,Mmm. I think. My favorite class would be the one that I took at Stern in New York. Which is Negotiation and Consensus Building. It's a class about how to get what you want while still building relationships and giving the other side somewhat of a fair share. So leaving everyone satisfied while getting what you want. Unless you want me to tell you a favorite class in NYU Abu Dhabi?,"I took one Intro to Computer Science class. I studied a little bit of Python and that was great, but I had to pass fail the class because I wasn't doing as great as I thought I would. My brother's a computer scientist as well.",,,
5,"Overall, across.",My favorite course was a negotiation and consensus building in New York and fundamentals of acting in Abu Dhabi.,Mmm. I think. My favorite class would be the one that I took at Stern in New York. Which is Negotiation and Consensus Building. It's a class about how to get what you want while still building relationships and giving the other side somewhat of a fair share. So leaving everyone satisfied while getting what you want. Unless you want me to tell you a favorite class in NYU Abu Dhabi?,,,,
5,"Oh okay. What was it about one of those courses, negotiations say, that you liked.","I loved about negotiation that it teaches you how to get what you want without screwing over the other person. So getting the best outcome for you while also building the relationship and making sure that you know to negotiate ethically, a little bit of ethics in there. But also, you know, how to make a conflict into an opportunity. And that you don't have to be, you know, assertive and an angry negotiator to get good results. And that sometimes the things we ask for is not necessarily what we need. Like there's a an interest behind them. And so basically how to navigate that. So basically you can negotiate job salaries, you can negotiate which movie you watch with a friend, you can negotiate with your mom who you're gonna marry. Anything anything.",,,,,
6,So is this your natural hair color?,"I love it when people ask that question because it means it doesn't look too fake. No, my hair color is brown and I've been dying like this since I was 14.",So I started to dye my hair red when I was 14.,,,,
6,"I love the dedication. I love your, hair looks great.",Thank you.,Thank you!,Thanks,,,
6,So where were you raised?,So I was born and raised in Moldova. I've been for a year as an exchange student in the US during my high school. But that's about it.,So I'm originally from Moldova which is an Eastern European country. It's between Romania and Ukraine and I've lived most of my life there.,I am from Moldova. It's a small country in Eastern Europe between Romania and Ukraine.,,,
6,Where in the US?,Wisconsin.,I went to Wisconsin.,,,,
6,OK.,"There was a program that gave you a state randomly, so you couldn't choose.",Oh yeah.,Yeah!,,,
6,Oh my God. That could have been. That's wild. And do you miss home when you're here in Abu Dhabi?,"Oh I do. I sometimes do, but not to the point to be like, ""oh I want to go back and live there"". No. I miss the people from my home and I do miss a little bit of the nature. We have this really cool cherry tree at my house that I spent my childhood climbing.",,,,,
6,I love that.,"Yeah. There's cherries at the end of May. Like right now probably, but I'm not there.",Thank you!,Thanks,,,
6,When are you heading back home?,I'm going to go home at the end of July.,,,,,
6,What made you take this class in particular?,So right now I'm doing a PPTP which is a program for people who have just graduated. I graduated three days ago. That's crazy. And so this is basically a transition into the real world because I'm doing research with a professor right now.,What do you mean?,I am quite busy. I am working on the PPTP program with Nizar and Alberto and that's why I'm here right now.,,,
6,OK. That's really cool. Who's the professor?,So it's Nizar.,,,,,
6,Ohhh I love Nizar! Yeah sorry. What would you like to do in the future? What's life past PPTP?,"I'm applying for jobs right now. I would love to do either consulting or transfer pricing, which is the area in tax. So I would love to stay here and work in Dubai preferably, otherwise if in two months it doesn't work out then it's probably for the best, there's probably something else and I'll go back to Moldova and look for jobs in Europe.","I think the MBA would give me a chance to do anything I want in the future. Because I just specialized into a field, in music, and I've done some economics as well. So I feel like I have enough quantitative knowledge to jump into an MBA but also it will help me use my music knowledge into creating maybe a business or solidify the music industry of Moldova.",,,,
6,OK. All right. Why would you want to stay in Dubai?,"Because the Sheikh's plan worked and I started loving this place and Abu Dhabi is a bit more family oriented and I don't plan to start one too soon and Dubai is a bit more wild and more accepting towards people like me, who dress up like me, who behave like me.","I would love for it to be New York. I would love to settle down in New York, but of course getting an American work visa is quite hard, not being a citizen there. So right now I'd love to work in Dubai even though I'm applying for jobs in Abu Dhabi as well. So in the next few years I would love to be in the the UAE and then we'll see.",,,,
6,No I totally hear you. I feel much more comfortable in Dubai as well. I don't think people care as much. OK.,A lot of tourists in Dubai right? Expats.,Exactly.,,,,
6,Back to the hair. What drew you to this color?,"I don't know, I guess I like attention. I mean many people in my family are either blonde or ginger or something and then I got brown so I felt like it's unfair. So I went for something different. Yeah. My dad has black hair and my mom is super blonde, her hair was like almost white in her childhood.","Why did I dye my hair red. So I guess I like attention. I have been dying it since I was 14 and I just decided that my brown hair doesn't stand out much. I don't have any crazy prominent features so I was like ""I'll dye my hair red"". A lot of people in my family are either blond or red headed. So it kind of felt unfair that I got brown, you know, so I was like I'm gonna stand out.",,,,
6,So you've got Brown. Yeah black hair is really uncommon as well. What do you think? These are such random questions.,That's great. That's great.,That's great. That's great.,,,,
6,What drew you to this keyboard set? I love flowers so I'm just curious.,"So I wanted a keyboard cover because if you spill something that protects your keyboard. But I just thought it looks really pretty and flowery, I like flowers, and although it kind of covers the letters I don't look at the letters anymore so I think it's even cooler. I mean my mom who doesn't type fast was really annoyed with my keyboard, she was like ""I have to look for letters now"". But I was like ""I don't even look"".",,,,,
6,OK. You earlier mentioned that you're not interested in starting a family soon. Do you imagine yourself having a family in the future?,I could have a family in the future because I have very strong maternal instincts. I love babies and I love giving love and care to other people. So I'd be a great mom. At the same time I care about sustainability issues and the issues of overpopulation so I need to be sure that first of all I am intelligent enough to teach them how to be sustainable and all that but also make the decision of whether I want to adopt or. Just all these things you know. Like I don't know I see literally myself both having kids and not having kids in the future.,"So, first of all I don't want to rush it. Whatever the reason is, I want to make sure I build a family with the exactly right person, because I'd rather be single than with the wrong person. And I see it all around me - parents of my friends divorcing and all families having problems. So I want I want to be more cautious. Another thing is the issue of overpopulation. I want to make sure I contribute with a new kid at the right time and that I have the right resources and I'm already old enough to also teach my children how to live sustainably, and since I don't want to have many children, one or two maximum, I don't feel like there's a rush.",,,,
6,Me too. Mostly not. Yes. OK. What else can I ask about?,You can ask about my family or my passions or my hobbies or my fears.,So you can ask me about my family or my career plans or the sports that I like or anything.,You can ask me about my family or about my passions. Anything you want.,You can ask about my family or my passions or my hobbies or my fears.,You can ask me about my favorite food or my friends or my family.,You can ask me about sports that I like. Or you can ask me about...
6,That's a good list. How did your parents meet?,Wow that's cute. My parents met at a wedding. So they were friends of a groom and one was a friend of the bride. And they met there and they started talking and then things went wild. Yeah.,,,,,
6,I thought you meant they met at their wedding as if it was an arranged marriage.,"That's not a thing in Eastern Europe. You were forced to marry as soon as possible in the beginning, back in the days. Right now it's different. But my mom's generation was almost guilted into marrying as soon as possible. At least in college, if you went to college, because it's like after college all the good ones are gone or like you're getting too old and ""what if you aren't able to get kids""? It's a bit crazy.",,,,,
6,Yeah and so what do your parents want for you? Do you know?,"Oh so my mom keeps telling me ""first get a career and then family"". She's like from my very childhood she kept saying that. She says she doesn't want me to depend on anyone. Lately I've been also kind of all these weird ideologies to my mom because I'm like sooner or later she has to find out but my alternative lifestyle of thinking ""maybe not having kids"" or ""maybe having kids"". Not saying that I'm not going to have kids. But I'm saying there's a possibility, mom. My self-worth is not equal, is not determined by whether I have kids. And she's kind of getting used to this idea. But she's really hoping that it's a phase and it will go away.","Not exactly, none of my parents like ... or do anything in music per se. They had some musical education, but not much. And my my dad's kinda working in the law, my mom's a doctor, my brother is doing CS and so I just basically have a broad family. I'm very interested in negotiating.",,,,
