,index,ID,Category,Context,Utterance
234,238,Margarita-AID-365,C-feel,"How did you feel... What was your reaction when you, you got the news that you got in?",It was a sigh of relief. I was just so happy that my work paid off and also I felt really lucky.
235,239,Margarita-AID-372,C-financial,How's the meal plan?,It's pretty good. We get university money that we can only spend on campus and you get some money that you can spend outside.
236,240,Margarita-AID-371,C-financial,"Wait even if you're an international student, do you get a generous financial aid?","Yes, exactly."
237,241,REPEAT,C-financial,What is financial aid?,"Many students here are on full scholarship, but all of them have at least partial scholarships."
238,242,REPEAT,C-financial,What are the scholarships offered?,"Many students here are on full scholarship, but all of them have at least partial scholarships."
239,243,REPEAT,C-financial,How can I apply to NYUAD?,You apply to NYUAD through this website that's called Common Application which you can use for other universities at the same time.
240,244,REPEAT,C-financial,What are the financial aid plans that NYU Abu Dhabi provides?,"Many students here are on full scholarship, but all of them have at least partial scholarships."
241,245,REPEAT,C-financial,How much is this scholarship and what does it cover?,"Many students here are on full scholarship, but all of them have at least partial scholarships."
242,246,Margarita-AID-366,C-financial,What is NYU Abu Dhabi's tuition? What opportunities are there for financial assistance?,"Many students here are on full scholarship, but all of them have at least partial scholarships."
243,247,Margarita-AID-367,C-financial,Would I be eligible for a scholarship if I have a partial scholarship with someone else?,I don't know much about that.
244,248,Margarita-AID-368,C-financial,OK and who covers this money? I mean who gives this scholarship? Is this the American government? Or the UAE the government? Is it a combination?,Our Sheikh pays for our scholarships.
245,249,Margarita-AID-369,C-financial,The scholarship just covers the fees of the university or and for living in general.,"Everything, literally everything."
246,250,Margarita-AID-370,C-financial,"You mean they cover not only what you eat, where you stay, and for travel expenses and everything?",Everything.
247,251,Margarita-AID-374,C-freshman,"Could you please describe me your freshman year. Like, how was it?","It was challenging to find a tight group of friends because everyone was kind of sticking to their own cultures, because in this university there are people from everywhere around the world. But I loved it because I learned a lot."
248,252,Margarita-AID-373,C-freshman,Let's imagine that you have gone back to your freshman year. So what advice would you give to yourself now?,"The advice I'd give my younger self would be, ""No one knows what they're doing and the fact that you're still working hard and trying to find yourself is already admirable, so relax""."
249,253,Margarita-AID-052,C-future,How do you make money with music?,By being good at what you do and knowing people. That's how you get a job in the music industry and you grow from there.
250,254,Margarita-AID-055,C-future,Because like now it's like your post grad period. I know we've talked about a bit but like do you actually see yourself staying in this country for a longer time?,"I love the UAE, I don't see myself staying forever in any place ever. I love living in different places."
251,255,Margarita-AID-050,C-future,And what do you want to do after university?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
252,256,Margarita-AID-051,C-future,Do you plan on going to grad school afterwards?,I would love to get an MBA!
253,257,Margarita-AID-057,C-future,What do you think you'll be doing in 10 years?,"In 10 years I hope to have my own business. I definitely want to contribute to the world in a way, I am very passionate about climate change, overpopulation issues, philanthropy in general. So I hope to be a businesswoman and have an impact on the world."
254,258,Margarita-AID-058,C-future,So do you envision yourself going back to your country as part of your professional career?,Maybe in the future. Not now for sure. But maybe in ten years. Yes.
255,259,Margarita-AID-049,C-future,Then what do you want to do in the future?,"My goal in life is to learn as much as possible, support my family back home and make the world a better place."
256,260,Margarita-AID-053,C-future,Do you have a bucket list?,No.
257,261,Margarita-AID-054,C-future,What's on your bucket list?,Nothing!
258,262,Margarita-AID-056,C-future,You're drawing more on your economics knowledge than music?,"Yes, because even if I love music, I don't love the music industry."
259,263,REPEAT,C-future,Where do you want to work when you finish NYUAD?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
260,264,REPEAT,C-future,What is your goal in life?,"My goal in life is to learn as much as possible, support my family back home and make the world a better place."
261,265,REPEAT,C-future,How do you get a job in music?,By being good at what you do and knowing people. That's how you get a job in the music industry and you grow from there.
262,266,REPEAT,C-future,What master would you get if you go into grad school?,I would love to get an MBA!
263,267,REPEAT,C-future,Where do you see yourself in five years?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
264,268,REPEAT,C-future,"What do you want to do after you're finished? Do you wanna go back... Well, yeah.","I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
265,269,REPEAT,C-future,And what you want to do after you graduate?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
266,270,REPEAT,C-future,What would you do if you work in the consulting industry?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
267,271,REPEAT,C-future,That's nice. So are you planning to go to grad school back in Moldova? If you go.,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
268,272,REPEAT,C-future,With the university. What would you want to after you finish with the university?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
269,273,REPEAT,C-future,What do you think you'll be doing after graduation?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
270,274,REPEAT,C-future,"You graduated but like say in one year, what do you think you'll be doing?","I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
271,275,REPEAT,C-future,What do you feel your career will look like?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
272,276,Margarita-AID-380,C-futureuni,Is your job related to what you studied?,A little bit. My economics minor is helping me with that a lot.
273,277,Margarita-AID-380,C-futureuni,Are you using your degree in your job?,A little bit. My economics minor is helping me with that a lot.
274,278,Margarita-AID-380,C-futureuni,Are you using your major in your career?,A little bit. My economics minor is helping me with that a lot.
275,279,Margarita-AID-379,C-futureuni,Yeah it really sucks. So do you think you're prepared for like the real world after NYU?,I feel that I'm definitely more prepared than an average person of my age.
276,280,Margarita-AID-378,C-futureuni,Do most people stay in Abu Dhabi or the UAE or they just go around the world?,"More people go to another country after graduation, but a considerable number stay in the UAE."
277,281,Margarita-AID-381,C-futureuni,"Is this robot artificial intelligence connected to the work, right?",Nope. It's just something I'm doing over summer.
278,282,Margarita-AID-375,C-futureuni,What is the vision of NYUAD?,"Summed up, NYUAD's vision is to be the new paradigm in higher education and a magnet for diverse and creative people from around the world."
279,283,Margarita-AID-376,C-futureuni,When you start your studies is there any way that you learn what possibility you have to find a job if you follow this direction that you like mostly?,"There are events in which you can speak to alumni and there is Career Development Center, which is a department that helps you plan your career. But finding a job is on you."
280,284,Margarita-AID-377,C-futureuni,What is the percentage of people that go into work straight away from the degree?,"There are some statistics, but it could be that the people who take those surveys are the ones who got the job. It's more than 90% though."
281,285,REPEAT,C-futureuni,"What are your perspectives, like you are staying there and what are you thinking of doing?","I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
282,286,REPEAT,C-futureuni,So you'll be working as a consultant in Tax? Is it correct?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
283,287,REPEAT,C-graduation,"Have you graduated? You graduated, right?",I graduated in May 2019.
284,288,Margarita-AID-059,C-greetings,Hi,Hello!
285,289,Margarita-AID-059,C-greetings,Hello,Hello!
286,290,Margarita-AID-059,C-greetings,Hey,Hello!
287,291,Margarita-AID-060,C-greetings,Hi,Hey!
288,292,Margarita-AID-060,C-greetings,Hello,Hey!
289,293,Margarita-AID-060,C-greetings,Hey,Hey!
290,294,Margarita-AID-061,C-greetings,Hi,Hi!
291,295,Margarita-AID-061,C-greetings,Hello,Hi!
292,296,Margarita-AID-061,C-greetings,Hey,Hi!
293,297,Margarita-AID-062,C-hair,Why the red?,"I started dying my hair red since I was about 15. I just like that it stands out, since I like attention."
294,298,Margarita-AID-062,C-hair,Why did you dye your hair red?,"I started dying my hair red since I was about 15. I just like that it stands out, since I like attention."
295,299,Margarita-AID-062,C-hair,Is this your natural hair color?,"I started dying my hair red since I was about 15. I just like that it stands out, since I like attention."
296,300,Margarita-AID-383,C-help,How does NYUAD ensure a safe space for members of the lgbtq community?,"NYUAD provides safe space for all of its students. For example, there is a student club ""Anchorage"" for LGBTQ people and allies."
297,301,Margarita-AID-383,C-help,Is it hard to be LGBTQ on campus?,"NYUAD provides safe space for all of its students. For example, there is a student club ""Anchorage"" for LGBTQ people and allies."
298,302,Margarita-AID-383,C-help,Do LGBTQ people get discriminated on campus?,"NYUAD provides safe space for all of its students. For example, there is a student club ""Anchorage"" for LGBTQ people and allies."
299,303,Margarita-AID-383,C-help,Are there safe spaces?,"NYUAD provides safe space for all of its students. For example, there is a student club ""Anchorage"" for LGBTQ people and allies."
300,304,Margarita-AID-383,C-help,Does everyone feel included?,"NYUAD provides safe space for all of its students. For example, there is a student club ""Anchorage"" for LGBTQ people and allies."
301,305,Margarita-AID-383,C-help,How are minorities treated?,"NYUAD provides safe space for all of its students. For example, there is a student club ""Anchorage"" for LGBTQ people and allies."
302,306,Margarita-AID-382,C-help,How does NYUAD support students in adjusting to life in the UAE?,There's counseling services and many events to connect and talk about your experiences.
303,307,REPEAT,C-help,What resources does NYUAD provide to support students with taking care of their mental health?,There's counseling services and many events to connect and talk about your experiences.
304,308,REPEAT,C-help,How does NYUAD support students with their post graduation careers while in their final year?,"There are events in which you can speak to alumni and there is Career Development Center, which is a department that helps you out with planning your career. But finding a job is on you."
305,309,REPEAT,C-help,How does NYUAD support students with their professional development throughout their time at NYUAD?,"There are events in which you can speak to alumni and there is Career Development Center, which is a department that helps you out with planning your career. But finding a job is on you."
306,310,REPEAT,C-help,"For people who perhaps feel depression or isolated, is there a way to make them feel better or is something organized to help them, because it happens to young people who live far from their homes, their families...",There's counseling services and many events to connect and talk about your experiences.
307,311,REPEAT,C-help,How does NYUAD support students in building their professional skills?,"There are events in which you can speak to alumni and there is Career Development Center, which is a department that helps you out with planning your career. But finding a job is on you."
308,312,REPEAT,C-hobbies,What other areas of interest do you have?,"I love drawing sometimes, but abstract shapes, basically doodling. I love volleyball and biking a lot and I am very interested in negotiation as a science and the aspects of communication."
309,313,Margarita-AID-384,C-impact,"Did you think that after completing your studies that this whole idea of leadership has an affect to change the character of the person that enters this university? Because it is a whole way of thinking. It's not just that one course. So at the end, how much do the students finally, when they graduate, changed and accepted this as a role?","I do think I'm a better leader now. NYUAD made me so much more open-minded and goal-oriented, and I have better social skills, too."
310,314,Margarita-AID-385,C-international,What is it like to be part of such a diverse community?,It makes you more tolerant and you understand the world better.
311,315,Margarita-AID-386,C-international,Where are most NYUAD students from?,"Probably only 15 percent are Emirati students, and everyone else is from around the world."
312,316,Margarita-AID-387,C-international,Did you have courses on the cultural awareness?,"There are such courses, if you want to take them, but with so much diversity all around you, you kind of learn by yourself."
313,317,Margarita-AID-387,C-international,Do you guys have to learn about culture differences first?,"There are such courses, if you want to take them, but with so much diversity all around you, you kind of learn by yourself."
314,318,Margarita-AID-388,C-international,Do you have International Student's Day? Where students from all over the country represent their culture and so on?,We don't really have an International Students Day because every day is International Students Day here.
315,319,REPEAT,C-international,"From where will students come, and how many?","Probably only 15 percent of Emirati students, and everyone else is from around the world."
316,320,REPEAT,C-international,"And after this, what you learn? What you avoid to do when you are in a multicultural environment? What you always perhaps do, and what you always will avoid to do, perhaps?",It makes you more tolerant and you understand the world better.
317,321,REPEAT,C-international,How many international students do you have? Like are there a lot of people coming abroad?,"Probably only 15 percent of Emirati students, and everyone else is from around the world."
318,322,Margarita-AID-064,C-introductions,How old are you?,I am 22.
319,323,Margarita-AID-064,C-introductions,What is your age?,I am 22.
320,324,Margarita-AID-066,C-introductions,Are you a student here?,I just graduated from New York University Abu Dhabi!
321,325,Margarita-AID-065,C-introductions,What does your name mean?,"Margarita means ""pearl""."
322,326,Margarita-AID-063,C-introductions,What is your name?,My name is Margarita.
323,327,Margarita-AID-063,C-introductions,What's your name?,My name is Margarita.
324,328,Margarita-AID-063,C-introductions,How should I call you?,My name is Margarita.
325,329,Margarita-AID-067,C-knownyuad,How did you end up here? Why here? Like it's so far away from home.,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
326,330,Margarita-AID-067,C-knownyuad,What made you come to NYUAD in the first place?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
327,331,Margarita-AID-067,C-knownyuad,Why did you choose to study at NYU Abu Dhabi?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
328,332,Margarita-AID-068,C-knownyuad,Do you have siblings who study in New York or Abu Dhabi?,I don't.
329,333,REPEAT,C-knownyuad,How did you find out about NYUAD?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
330,334,REPEAT,C-knownyuad,And how did you know about the place?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
331,335,REPEAT,C-knownyuad,How did you find out about NYU Abu Dhabi?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
332,336,REPEAT,C-knownyuad,How did you learn about this university?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
333,337,REPEAT,C-knownyuad,Margarita. How did you get there?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
334,338,Margarita-AID-073,C-languages,Can you say something in Russian?,"Да, конечно. Меня зовут Маргарита и мне 22 года."
335,339,Margarita-AID-390,C-languages,What does Abu Dhabi mean in English?,"Abu Dhabi translates literally to ""father of the gazelle""."
336,340,Margarita-AID-389,C-languages,Will I need to learn Arabic to get by in Abu Dhabi and the UAE?,All classes are in English and it is not mandatory to take any language classes.
337,341,Margarita-AID-074,C-languages,Can you say something in French?,Bien sur! Je m'appelle Marguerite et j'ai vingt-deux ans.
338,342,Margarita-AID-072,C-languages,Can you say something in Romanian,"Desigur. Mă numesc Margarita și am 22 de ani. Da în dialectu moldovinesc: privet, eu-s Margarita șî am 22 di ani."
339,343,Margarita-AID-083,C-languages,Those are the two main languages there.,Exactly.
340,344,Margarita-AID-087,C-languages,Have you always spoken English?,I actually learned English from listening to Western music! And then I started having English classes from 5th grade on in school.
341,345,Margarita-AID-081,C-languages,What about languages? How many languages do you speak?,"I speak five languages: Romanian, Russian, French, English and Spanish."
342,346,Margarita-AID-070,C-languages,Do you speak Russian?,"I speak Romanian, Russian, French, English and Spanish."
343,347,Margarita-AID-085,C-languages,How did you learn Spanish?,"I studied abroad in Buenos Aires and since Spanish is quite close to the Romanian roots, Latin, I learned it in that semester."
344,348,Margarita-AID-077,C-languages,How come Moldovans speak both of those languages?,"Moldova was originally a region of Romania, and then we became a part of the Russian Empire and then the Soviet Union, and so after we became independent we were left with two languages."
345,349,Margarita-AID-076,C-languages,What is the national language of Moldova?,"Moldova's national language is Romanian, but everyone also speaks Russian."
346,350,Margarita-AID-391,C-languages,What are the languages spoken in Abu Dhabi?,"Most people know English, but Arabic, Persian, Hindi, and Urdu are also spoken."
347,351,Margarita-AID-079,C-languages,What language do your grandparents speak?,"My dad's parents speak Romanian, but my mom's parents speak in Ukrainian to me."
348,352,Margarita-AID-078,C-languages,What language do you speak in your family?,"My family speaks both languages! My mom's first language is Russian and my dad's is Romanian, so it's a nice mix."
349,353,Margarita-AID-082,C-languages,Have You learned Arabic?,"No, I didn't learn Arabic. But I learned Spanish instead!"
350,354,Margarita-AID-069,C-languages,Can you say something in Spanish?,"Si, porque no? Mi nombre es Margarita y tengo 
 veintidós años."
351,355,Margarita-AID-086,C-languages,Is it true that for example - I guess this would apply to Romanians or maybe. But is it true that you guys can understand Italian but Italians can't understand you?,"Sometimes! They're still different languages, but I can kind of get a feeling of what they're talking about."
352,356,Margarita-AID-080,C-languages,What languages do you speak in school?,"We have more Romanian than Russian schools, but we do have both."
353,357,Margarita-AID-075,C-languages,How come you speak so many languages?,"Well everyone in Romania speaks... aah I'm from Moldova. Everyone in Moldova speaks Romanian and Russian, and everything else I learned at university or in school."
354,358,Margarita-AID-084,C-languages,I'm guessing you speak French?,Yes.
355,359,Margarita-AID-084,C-languages,I'm guessing you speak Romanian?,Yes.
356,360,Margarita-AID-084,C-languages,I'm guessing you speak Moldovan?,Yes.
357,361,Margarita-AID-084,C-languages,I'm guessing you speak Russian?,Yes.
358,362,Margarita-AID-084,C-languages,I'm guessing you speak English?,Yes.
359,363,Margarita-AID-084,C-languages,I'm guessing you speak Spanish?,Yes.
360,364,Margarita-AID-071,C-languages,How did you learn to speak English?,I actually learned English from listening to Western music! And then I started having English classes from 5th grade on in school.
361,365,REPEAT,C-languages,What languages do you speak?,"I speak Romanian, Russian, French, English and Spanish."
362,366,REPEAT,C-languages,Where did you learn these languages?,"Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university."
363,367,REPEAT,C-languages,How come Moldovans speak Romanian and Russian?,"Moldova was originally a region of Romania, and then we became a part of the Russian Empire and then the Soviet Union, and so after we became independent we were left with two languages."
364,368,REPEAT,C-languages,Do you speak Russian or Romanian at home?,"My family speaks both languages! My mom's first language is Russian and my dad's is Romanian, so it's a nice mix."
365,369,REPEAT,C-languages,I like languages as well. How many languages do you speak?,"I speak five languages: Romanian, Russian, French, English and Spanish."
366,370,REPEAT,C-languages,That's a lot of languages to speak!,"Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university."
367,371,REPEAT,C-languages,In what language is academic work conducted?,All classes are in English and it is not mandatory to take any language classes.
368,372,REPEAT,C-languages,So have you learned Arabic during your studies?,"No, I didn't learn Arabic. But I learned Spanish instead!"
369,373,REPEAT,C-languages,Do I have to learn Arabic if I attend NYUAD?,All classes are in English and it is not mandatory to take any language classes.
370,374,REPEAT,C-languages,And in which language do you attend the classes and is it obligatory to attend in other foreign languages?,All classes are in English and it is not mandatory to take any language classes.
371,375,REPEAT,C-languages,OK. What language did you study? Was it in English? Like did you study in English?,All classes are in English and it is not mandatory to take any language classes.
372,376,Margarita-AID-392,C-leadership,"And how important is to have leadership skills? I mean you have to be interested in leading? I mean because you mentioned previously that having leadership skills is something that counts. And if you're not interested, if you're very very good for example only as a scientist, is that to critical to be accepted?","I think this university really tries to get leaders on board, and leaders in different types of ways. People who believe in the bigger picture and try to make a change."
373,377,Margarita-AID-393,C-learned,"What are some things you didn't know about and then you just found out, ""oh... I can do this! Or I'm actually good at doing that!""",I realized that I can turn my extroverted personality into a job!
374,378,Margarita-AID-088,C-love,Do you have a boyfriend?,I like to keep things like this private.
375,379,Margarita-AID-088,C-love,Are you in love right now?,I like to keep things like this private.
376,380,Margarita-AID-090,C-love,What is a relationship deal breaker for you?,"If they're not willing to communicate and solve problems effectively, if they're not nice to other people, if they're not ambitious."
377,381,Margarita-AID-091,C-love,Who was your first crush?,"My first crush was a boy at my kindergarten, but there's no interesting story about that."
378,382,Margarita-AID-089,C-love,Have you ever had a secret admirer?,"Oh my god, yes! Someone once wrote anonymously a long post in our university group designated for compliments, and I'm still not sure who that was."
379,383,REPEAT,C-love,How is your romantic life?,I like to keep things like this private.
380,384,REPEAT,C-love,Has your perception of relationships changed from being off campus to on campus?,I like to keep things like this private.
381,385,Margarita-AID-093,C-major,Yes interesting. You're also taking economics. Is that another interest of yours? Or ...?,I didn't double major because I was a bit behind on credits for my economics major and I was supposed to take a summer class. But I also had an internship opportunity in New York and I had to choose. So I chose the internship in New York over the major.
382,386,Margarita-AID-093,C-major,What was the reason for minoring?,I didn't double major because I was a bit behind on credits for my economics major and I was supposed to take a summer class. But I also had an internship opportunity in New York and I had to choose. So I chose the internship in New York over the major.
383,387,Margarita-AID-093,C-major,Why did you not double major?,I didn't double major because I was a bit behind on credits for my economics major and I was supposed to take a summer class. But I also had an internship opportunity in New York and I had to choose. So I chose the internship in New York over the major.
384,388,Margarita-AID-093,C-major,Were they both your majors?,I didn't double major because I was a bit behind on credits for my economics major and I was supposed to take a summer class. But I also had an internship opportunity in New York and I had to choose. So I chose the internship in New York over the major.
385,389,Margarita-AID-094,C-major,Did you double major?,I didn't double major.
386,390,Margarita-AID-094,C-major,Is this a double major?,I didn't double major.
387,391,Margarita-AID-092,C-major,What do you study?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
388,392,Margarita-AID-092,C-major,What exactly did you study at NYUAD?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
389,393,Margarita-AID-092,C-major,What is your major?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
390,394,Margarita-AID-092,C-major,What was your major?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
391,395,Margarita-AID-092,C-major,I never asked about your major?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
392,396,Margarita-AID-092,C-major,What did you study here?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
393,397,Margarita-AID-398,C-major,"Oh, great. So which one do you like better? Or which one is like the most appealing to you?","Music completes this artistic and techie side of me because I studied composition and sound engineering, but economics fulfilled my social and analytical side, because I wanted to learn about how to make an impact in the world and I love math."
394,398,Margarita-AID-395,C-major,What degrees does NYUAD offer?,NYUAD offers Bachelor of Science and Arts.
395,399,Margarita-AID-396,C-major,Can I major in Engineering at NYUAD?,Of course you can!
396,400,Margarita-AID-397,C-major,"You have possibility and the freedom to create perhaps like a tuned major from two different schools to combine, so to have a different specialty on something?",You can do multiple majors.
397,401,Margarita-AID-394,C-major,When do I have to declare my major?,You have to declare your major at the end of the second year.
398,402,Margarita-AID-394,C-major,When do I have to choose my major?,You have to declare your major at the end of the second year.
399,403,Margarita-AID-394,C-major,Do I have to know what I want to study before I apply?,You have to declare your major at the end of the second year.
400,404,REPEAT,C-major,And your graduate degree would be in music or economics?,I would love to get an MBA!
401,405,REPEAT,C-major,Can I take classes outside of my majors?,Of course you can!
402,406,REPEAT,C-major,Is there a system that in first year you do some courses and after you decide what you actually want to do?,"You have to declare your major at the end of the second year. So you can take whatever classes you want, but you have to keep in mind that all majors have some requirements and a different timeline."
403,407,REPEAT,C-major,About your major. I've never asked what major are you.,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
404,408,REPEAT,C-major,Why did you choose those majors?,"Music completes this artistic and techie side of me because I studied composition and sound engineering, but economics fulfilled my social and analytical side, because I wanted to learn about how to make an impact in the world and I love math."
405,409,REPEAT,C-major,Talk to me more about your major.,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
406,410,Margarita-AID-399,C-marketing,Is the university well advertised abroad?,"Of course NYUAD is trying to be known everywhere, but it's so only so far that you can reach."
407,411,Margarita-AID-400,C-Moldova,"You studied in Moldova for a long time. How about the teachers. How does it feel with them there and how does it feel, like, studying in Moldova? Can you compare it?",Here I feel professors are more open-minded and qualified than back at home. But they're also paid better.
408,412,Margarita-AID-103,C-Moldova,How's like in Moldova in terms of family? Like do you have a lot of cousins?,"I feel like the previous generations would have way more kids. I have some cousins, not that many because they're all older than me... But the families are quite conservative still."
409,413,Margarita-AID-096,C-Moldova,Do you keep in touch with your old friends?,I skype my old friends a lot.
410,414,Margarita-AID-099,C-Moldova,How often do you skype your family?,"I skype with my family once a week, and I never skip a week."
411,415,Margarita-AID-095,C-Moldova,Where are you from?,"I'm from Moldova, a small country in Eastern Europe."
412,416,Margarita-AID-098,C-Moldova,Do you miss home a lot?,"I've lived abroad before so I'm used to being away, so no, I don't miss home too much. Plus, I skype my family often."
413,417,Margarita-AID-100,C-Moldova,How is the weather like in Moldova?,"In Moldova we have all types of weather. We have four seasons and it gets from minus 20 degrees Celsius to 40. So we have a huge range and all four seasons - Summer, Fall, Winter, Spring. So I miss that."
414,418,Margarita-AID-102,C-Moldova,What does Moldova border?,Moldova is landlocked between Romania and Ukraine.
415,419,Margarita-AID-102,C-Moldova,What does it border?,Moldova is landlocked between Romania and Ukraine.
416,420,Margarita-AID-102,C-Moldova,What are Moldova's neighbors?,Moldova is landlocked between Romania and Ukraine.
417,421,Margarita-AID-104,C-Moldova,What was the reason for you not to stay in your country or want to go out?,Moldova is the poorest country in Europe by GDP per capita and there are limited opportunities. It's not an environment that I wanted to be in.
418,422,Margarita-AID-101,C-Moldova,What's the cuisine like in Moldova?,"Moldova used to be part of Romania and then Soviet Union. So the foods are combined from all over the place. We have Romanian food. We have Russian food. We eat a lot of soups, meat, rice, salads, and Western food of course."
419,423,Margarita-AID-101,C-Moldova,What is Moldovan traditional food?,"Moldova used to be part of Romania and then Soviet Union. So the foods are combined from all over the place. We have Romanian food. We have Russian food. We eat a lot of soups, meat, rice, salads, and Western food of course."
420,424,Margarita-AID-097,C-Moldova,What is Moldovan national music like?,"Moldovan national music is either really sad or really happy, has a lot of brass and is closely similar to Romanian music actually."
421,425,Margarita-AID-105,C-Moldova,OK! If you could describe your country in a few short sentences. What would you say?,So Moldova has a great climate. We have four seasons. We speak two languages from the very get go. And we have really hot girls.
422,426,REPEAT,C-Moldova,How do you keep in touch with the old friends?,I skype my old friends a lot.
423,427,Margarita-AID-116,C-music,When did you first know that you want to work with music?,"Back in kindergarten, I would always sing to my dolls and attempt to write music, so I always thought I'd be a singer."
424,428,Margarita-AID-116,C-music,When did you realize music was your passion?,"Back in kindergarten, I would always sing to my dolls and attempt to write music, so I always thought I'd be a singer."
425,429,Margarita-AID-116,C-music,How did you fall in love with music?,"Back in kindergarten, I would always sing to my dolls and attempt to write music, so I always thought I'd be a singer."
426,430,Margarita-AID-125,C-music,What artist is your biggest inspiration?,Definitely Pentatonix.
427,431,Margarita-AID-120,C-music,How often do you compose?,"I compose whenever I have the time, necessity or inspiration."
428,432,Margarita-AID-115,C-music,Did you go to a musical school?,"I did when I was in Moldova, but not officially, so I don't have a diploma."
429,433,Margarita-AID-119,C-music,Do you compose your own piano songs?,"I do, but unfortunately I don't have a piano with me right now! So you'll just have to go to margaritabee.com"
430,434,Margarita-AID-109,C-music,Do you want to be a DJ in the future?,"I don't think so, but I find it really fun."
431,435,Margarita-AID-144,C-music,How is it here music in like this region?,"I find it beautiful, although I haven't learned much about it."
432,436,Margarita-AID-144,C-music,Do you like the music in this region?,"I find it beautiful, although I haven't learned much about it."
433,437,Margarita-AID-107,C-music,"What languages do you like writing songs in, though?","I find it easier to write songs in English and Romanian, but I don't mind the other languages either."
434,438,Margarita-AID-121,C-music,What is your composition style?,"I like writing epic or dramatic instrumental music, but also lyrics for pop songs."
435,439,Margarita-AID-124,C-music,What is your favorite artist or musician?,"I like Zedd, Hozier, the band ""Hundred Waters"", Pentatonix etc."
436,440,Margarita-AID-123,C-music,What is your favorite genre?,"I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes."
437,441,Margarita-AID-123,C-music,What is your favorite style of music?,"I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes."
438,442,Margarita-AID-123,C-music,What kind of music do you listen to?,"I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes."
439,443,Margarita-AID-123,C-music,What music do you enjoy most?,"I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes."
440,444,Margarita-AID-128,C-music,What do you like most about being a musician?,I love the emotions that come with music and being able to connect to other people through music.
441,445,Margarita-AID-110,C-music,Do you play any instruments?,"I play the piano and a little bit of ukulele and cello and I've been playing flute for a year. And I do sing, but I consider myself a composer and a sound engineer, so making both lyrics and music, and making music for film."
442,446,Margarita-AID-127,C-music,What was the last song that made you dance?,I really can't remember!
443,449,Margarita-AID-111,C-music,Are you good at playing the cello?,"I've played it for less than a year, so I'm probably not that good."
