Mode,Conversation,Exchange,Experiment,Q,A,Notes,BA1,BA2,BA3,BA4,BA5,BA6
PER,5,19,TRAIN,OK. So do you envision yourself going back to your country as part of your professional career?,Maybe in the future. Not now for sure. But maybe in ten years. Yes.,,Maybe in the future. Not now for sure. But maybe in ten years. Yes.,,,,,
PER,5,20,TRAIN,OK. Do you think there is such a thing as giving back to your country or do you feel like a responsibility to go back and give back to your country? Personally?,"I personally have that responsibility, but I don't feel like everybody should feel that way. In the end it's like we're living on one planet and you can make home anywhere you go. And the only thing that differentiates us really from the other people in other countries is where you're born and that's it. So every country is trying to take care of their citizens but some are failing and I feel like it's almost a little bit of propaganda. The governments are trying instill so that people don't leave their country if they don't like it. That you know that you should stay and give back. I mean if if a country is doing nice things for you... What is a country? It's like if the community is doing nice things for you and loves you at least, is trying to push you up, then of course you feel a sense of duty that you should give back, but nobody owes anyone anything just because they were born in a certain spot. That's what I believe.",,"I personally feel that responsibility, but I don't think people owe anyone anything just because they were born in a certain spot.",,,,,
PER,5,21,TRAIN,OK. OK. So it's out of niceness of your heart.,"That's nice of you to say. I'd love to believe that I'm kind and altruistic. I don't know if... I don't know if I'm altruistic, you know, there's actually this debate that even altruism can be selfish because maybe you're just doing it so that you feel better or maybe you're doing it for the image of it or maybe... I don't know. I'd like to believe that I'm kind and that I'm driven by this set of values that isn't selfish. I would love to believe that.",,I don't really know.,Kind of.,,,,
PER,5,22,TRAIN,What about your parents? You said they always wanted you to go outside of your country and then take them with you later. How else do you think they have influenced you as part of growing up?,"So lately I've been thinking that my mother specifically is so empathetic and that it's not normal for everyone to be so empathetic. I didn't know she's so special until I saw other moms. And she's a doctor as well. So I think she's indirectly taught me empathy. She never said ""oh, you must be empathetic"". She just showed it to me. And now I'm like that too so I really care. My dad has taught me generosity. Every time I would ask for something like ten dollars, he's gonna give me 15. I swear to God he always does that and he gets so much pleasure out of it. And I definitely want to be like that too because I'm a little bit think stingy with my money I guess because of my financial insecurity, like I want to be secure. But I want to be generous and kind. And my brother is very very ambitious and he's five years older and I'm taking after him.",,"When I was about four, I saw someone playing the piano and I really wanted my parents to buy me one. My parents thought it's whim and pianos were expensive, so they refused. I didn't know how money worked, so I started collecting coins. One day I showed my mom that I had a fistfull of coins for her to buy me a piano and that was the day my parents decided that they really needed to buy me a piano.","My parents weren't okay with me studying here at first, but I assured them that it's safe and they were able to see all the benefits as well.",,,,
PER,5,23,TRAIN,How many siblings do you have?,I have one older brother.,,I have a brother.,,,,,
PER,5,24,TRAIN,Five years older you say?,Yes he's five years older. He is a software engineer. He is also trying to build his company although in Moldova that's really hard. So he might have to readapt and maybe go back into the job market. But yes right now he's left his job to try to start a company.,,Yes.,,,,,
PER,5,25,TRAIN,In Moldova?,Yes.,,"Yes, exactly.",,,,,
PER,5,26,TRAIN,OK! If you could describe your country in a few short sentences. What would you say?,So Moldova has a great climate. We have four seasons. We speak two languages from the very get go. And we have really hot girls.,,So Moldova has a great climate. We have four seasons. We speak two languages from the very get go. And we have really hot girls.,,,,,
PER,5,27,TRAIN,What else can we ask you?,"You can ask me about my passions, you can ask me about my family, you can ask me about preferences in food, in countries. You can ask me about my friends, you can ask me about my fears, anything.",,You can ask me about my family or about my passions. Anything you want.,"You can ask me about my favorite food, or my friends, or the sports that I like!",You can ask me about the languages that I speak or my experiences in music.,,,
PER,5,28,TRAIN,What would you miss most about NYUAD?,"So as the graduation speaker said after this university being in such a diverse environment where people are so accepting and nice and intelligent, after you go out in the world there's not such a concentrated community of this type of people anymore. So I'm actually terrified of that. I don't know. I'll really miss being surrounded by spectacular, brilliant people all the time. And I'll miss my friends a lot. And I think I'll miss studying as well. I love studying. But I'm also tired of it. I want to go into the world, but I know I'll miss it.",,"I'll miss my friends a lot and I'll miss constantly being in an environment with other intelligent, tolerant and like-minded people.","Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and lots of traveling.",The fact that this education was for free for me and the fact that I've gotten to travel to so many places!,,,
PER,5,29,TRAIN,OK. OK. So you'll miss studying.,Yeah. That's crazy. But can you imagine not having to worry about food then getting to travel and just you know just enriching your knowledge. Messing around. Yeah.,,For sure!,,,,,
PER,5,30,TRAIN,Where did you take your study away semester?,I studied abroad in New York and Buenos Aires and I did J-terms in Paris and Shanghai.,,"I've been to Buenos Aires and New York for a semester each and I've done two January terms, in Shanghai and Paris.",,,,,
PER,5,31,TRAIN,Oh nice. What was the most interesting or your most enjoyable course you took at NYUAD?,Do you mean just at the NYUAD campus or across?,,My favorite courses were Negotiation and Consensus Building in New York and Fundamentals of Acting in Abu Dhabi.,,,,,
PER,5,32,TRAIN,"Overall, across.",My favorite course was a negotiation and consensus building in New York and fundamentals of acting in Abu Dhabi.,,My favorite courses were Negotiation and Consensus Building in New York and Fundamentals of Acting in Abu Dhabi.,,,,,
PER,5,33,TRAIN,"Oh okay. What was it about one of those courses, negotiations say, that you liked.","I loved about negotiation that it teaches you how to get what you want without screwing over the other person. So getting the best outcome for you while also building the relationship and making sure that you know to negotiate ethically, a little bit of ethics in there. But also, you know, how to make a conflict into an opportunity. And that you don't have to be, you know, assertive and an angry negotiator to get good results. And that sometimes the things we ask for is not necessarily what we need. Like there's a an interest behind them. And so basically how to navigate that. So basically you can negotiate job salaries, you can negotiate which movie you watch with a friend, you can negotiate with your mom who you're gonna marry. Anything anything.",,Negotiation and Consensus Building teaches how to protect your interests when you negotiate with somebody while still building relationships. I loved it because I implement it in my daily life!,,,,,
PER,6,1,TEST,So is this your natural hair color?,"I love it when people ask that question because it means it doesn't look too fake. No, my hair color is brown and I've been dying like this since I was 14.",,"I started dying my hair red since I was about 15. I just like that it stands out, since I like attention.",,,,,
PER,6,2,TEST,"I love the dedication. I love your, hair looks great.",Thank you.,,Thank you so much.,Thank you so much!,Awww thanks!,,,
PER,6,3,TEST,So where were you raised?,So I was born and raised in Moldova. I've been for a year as an exchange student in the US during my high school. But that's about it.,,"I'm from Moldova, a small country in Eastern Europe.",,,,,
PER,6,4,TEST,Where in the US?,Wisconsin.,,"I've been to Buenos Aires and New York for a semester each and I've done two January terms, in Shanghai and Paris.",,,,,
PER,6,5,TEST,OK.,"There was a program that gave you a state randomly, so you couldn't choose.",,(Silent nod),,,,,
PER,6,6,TEST,Oh my God. That could have been. That's wild. And do you miss home when you're here in Abu Dhabi?,"Oh I do. I sometimes do, but not to the point to be like, ""oh I want to go back and live there"". No. I miss the people from my home and I do miss a little bit of the nature. We have this really cool cherry tree at my house that I spent my childhood climbing.",,"I've lived abroad before so I'm used to being away, so no, I don't miss home too much. Plus, I skype my family often.",,,,,
PER,6,7,TEST,I love that.,"Yeah. There's cherries at the end of May. Like right now probably, but I'm not there.",,Thanks.,Awww thanks!,Thank you so much.,,,
PER,6,8,TEST,When are you heading back home?,I'm going to go home at the end of July.,None,,,,,,
PER,6,9,TEST,What made you take this class in particular?,So right now I'm doing a PPTP which is a program for people who have just graduated. I graduated three days ago. That's crazy. And so this is basically a transition into the real world because I'm doing research with a professor right now.,None,,,,,,
PER,6,10,TEST,OK. That's really cool. Who's the professor?,So it's Nizar.,None,,,,,,
PER,6,11,TEST,Ohhh I love Nizar! Yeah sorry. What would you like to do in the future? What's life past PPTP?,"I'm applying for jobs right now. I would love to do either consulting or transfer pricing, which is the area in tax. So I would love to stay here and work in Dubai preferably, otherwise if in two months it doesn't work out then it's probably for the best, there's probably something else and I'll go back to Moldova and look for jobs in Europe.",,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!",I would love to get an MBA!,,,,
PER,6,12,TEST,OK. All right. Why would you want to stay in Dubai?,"Because the Sheikh's plan worked and I started loving this place and Abu Dhabi is a bit more family oriented and I don't plan to start one too soon and Dubai is a bit more wild and more accepting towards people like me, who dress up like me, who behave like me.",,"I love the UAE, I don't see myself staying forever in any place ever. I love living in different places.","More people go to another country after graduation, but a considerable number stay in the UAE.",,,,
PER,6,13,TEST,No I totally hear you. I feel much more comfortable in Dubai as well. I don't think people care as much. OK.,A lot of tourists in Dubai right? Expats.,,For sure!,,,,,
PER,6,14,TEST,Back to the hair. What drew you to this color?,"I don't know, I guess I like attention. I mean many people in my family are either blonde or ginger or something and then I got brown so I felt like it's unfair. So I went for something different. Yeah. My dad has black hair and my mom is super blonde, her hair was like almost white in her childhood.",,"I started dying my hair red since I was about 15. I just like that it stands out, since I like attention.",,,,,
PER,6,15,TEST,So you've got Brown. Yeah black hair is really uncommon as well. What do you think? These are such random questions.,That's great. That's great.,,I loved it!.,,,,,
PER,6,16,TEST,What drew you to this keyboard set? I love flowers so I'm just curious.,"So I wanted a keyboard cover because if you spill something that protects your keyboard. But I just thought it looks really pretty and flowery, I like flowers, and although it kind of covers the letters I don't look at the letters anymore so I think it's even cooler. I mean my mom who doesn't type fast was really annoyed with my keyboard, she was like ""I have to look for letters now"". But I was like ""I don't even look"".",None,,,,,,
PER,6,17,TEST,OK. You earlier mentioned that you're not interested in starting a family soon. Do you imagine yourself having a family in the future?,I could have a family in the future because I have very strong maternal instincts. I love babies and I love giving love and care to other people. So I'd be a great mom. At the same time I care about sustainability issues and the issues of overpopulation so I need to be sure that first of all I am intelligent enough to teach them how to be sustainable and all that but also make the decision of whether I want to adopt or. Just all these things you know. Like I don't know I see literally myself both having kids and not having kids in the future.,,Maybe in the future. Not now for sure. But maybe in ten years. Yes.,,,,,
PER,6,18,TEST,Me too. Mostly not. Yes. OK. What else can I ask about?,You can ask about my family or my passions or my hobbies or my fears.,,You can ask me about my family or about my passions. Anything you want.,"You can ask me about my favorite food, or my friends, or the sports that I like!",You can ask me about the languages that I speak or my experiences in music.,,,
PER,6,19,TEST,That's a good list. How did your parents meet?,Wow that's cute. My parents met at a wedding. So they were friends of a groom and one was a friend of the bride. And they met there and they started talking and then things went wild. Yeah.,None,,,,,,
PER,6,20,TEST,I thought you meant they met at their wedding as if it was an arranged marriage.,"That's not a thing in Eastern Europe. You were forced to marry as soon as possible in the beginning, back in the days. Right now it's different. But my mom's generation was almost guilted into marrying as soon as possible. At least in college, if you went to college, because it's like after college all the good ones are gone or like you're getting too old and ""what if you aren't able to get kids""? It's a bit crazy.",None,,,,,,
PER,6,21,TEST,Yeah and so what do your parents want for you? Do you know?,"Oh so my mom keeps telling me ""first get a career and then family"". She's like from my very childhood she kept saying that. She says she doesn't want me to depend on anyone. Lately I've been also kind of all these weird ideologies to my mom because I'm like sooner or later she has to find out but my alternative lifestyle of thinking ""maybe not having kids"" or ""maybe having kids"". Not saying that I'm not going to have kids. But I'm saying there's a possibility, mom. My self-worth is not equal, is not determined by whether I have kids. And she's kind of getting used to this idea. But she's really hoping that it's a phase and it will go away.",,"My parents weren't okay with me studying here at first, but I assured them that it's safe and they were able to see all the benefits as well.","When I was about four, I saw someone playing the piano and I really wanted my parents to buy me one. My parents thought it's whim and pianos were expensive, so they refused. I didn't know how money worked, so I started collecting coins. One day I showed my mom that I had a fistfull of coins for her to buy me a piano and that was the day my parents decided that they really needed to buy me a piano.",,,,
PER,6,22,TEST,Oh yeah. Yep. Sounds familiar. So alternative lifestyle in the sense of children only or also sexuality?,"Yeah. That as well. Yeah I mean I am bisexual but I don't go too loud about it. I am still afraid of being judged even though my letter from the LGBTQ is I feel the most privileged and easiest to hide, and to pretend that you're straight. But still at home people are quite judgmental.",,I like to keep things like this private.,Can you ask me something else?,I can't really answer that.,,,
PER,6,23,TEST,OK. So you're worried about it back home. But not on campus I hope.,"Not on campus. No, not lately especially because most of the time I also have been in denial so I wasn't telling people cause I was thinking, ""am I just trying to be cool?"". Like am I for real or am I just trying to embrace everything weird that I can think about. But I found out later that I think it's a thing. Exactly I was.",,Exactly.,,,,,
PER,6,24,TEST,Yeah you're speaking to the treasurer of anchorage group. I've been Treasurer for a year. Yeah. OK. So. You mentioned a cherry tree. Cherry tree? Cherry tomatoes?,Yeah you're right! Cherry tree.,,Yes.,,,,,
PER,6,25,TEST,What other childhood memories do you cherish?,"So I think the snow cause we had a lot of snow during winter and we'd go down a hill with a sleigh. We have a lot of hills in Moldova. And also going caroling. Right now it's not a thing anymore because people, you know, people have internet and they see all these crazy things in the media and they think that the world has become more dangerous when actually the few cases that are messed up are just very publicized in the media and people think ""oh no, this happens all the time, I shouldn't let my kids go alone at night caroling at random houses"". But I remember that back in my childhood our community was like a very tight knit, like a village. Everyone knew each other and we'd go and it was so fun and so pure and innocent.",,"When I was about four, I saw someone playing the piano and I really wanted my parents to buy me one. My parents thought it's whim and pianos were expensive, so they refused. I didn't know how money worked, so I started collecting coins. One day I showed my mom that I had a fistfull of coins for her to buy me a piano and that was the day my parents decided that they really needed to buy me a piano.","My first songs were Moldovan national songs and some Russian pop songs, but the first song in English that I fell in love with was Beyonce's Irreplaceable when I was 6.","In Moldova we have all types of weather. We have four seasons and it gets from minus 20 degrees Celsius to 40. So we have a huge range and all four seasons - Summer, Fall, Winter, Spring. So I miss that.",,,
PER,6,26,TEST,"OK so caroling, Christmas.","Yes, Christmas as well. Yeah. I remember my parents lying about Santa and me being like ""Yo I'm not that dumb. I've been told. My kindergarten friend said...""",,Yes.,,,,,
PER,6,27,TEST,Oh that's amazing. And what are your hobbies today? Or some of your favorite?,So I like rock climbing and I like biking. Basically all sports that don't involve going to the gym. And I like reading although I should be reading more. And I love singing. That's just so natural. I'm not saying I'm great. I just like it.,,"I love volleyball, biking, boxing and rock-climbing.","Ummm I like singing, doing sports, reading, hanging out with friends and traveling","I love drawing sometimes, but abstract shapes, basically doodling. I love volleyball and biking a lot and I am very interested in negotiation as a science and the aspects of communication.",,,
PER,6,28,TEST,"OK. Have you had a chance to sing in any events on campus? I feel like I might have seen you, but I'm not sure.","Sometimes. I sometimes sing at open mikes but not that often. Because I guess I'm such a perfectionist that I don't get things done sometimes. You know it's taking a toll, it's like ""oh but I'm not still ready yet to sing the song. So maybe next time cause I'm busy"". But. Sometimes. Sometimes I sing.",,Yes.,,,,,
PER,6,29,TEST,And what kind of reading do you like to do?,"So I really like science fiction. But at the same time lately it almost feels like a waste of time, which is not true. But it makes me feel like I should be reading books that teach me about life. So books from economists about what's happening in the world or psychology books about understanding people more as opposed to just improving my vocabulary and my imagination with science fiction.",,"I love science-fiction, comedy and spooky things.",I love Veronica Roth.,,,,
PER,6,30,TEST,Do you have a particular favorite?,I read all the Divergent books. They're pretty cool. Ender's Game was pretty cool.,,"My favorite book is probably ""Bargaining for advantage"" by G. Richard Shells. But it is about how to protect your interests when you negotiate with somebody while still building relationships.",,,,,
PER,6,31,TEST,What's that?,"So. I don't remember it very well. The plot is basically about space and how this little boy was basically in the academy in space and you know it's in the future basically. There are already multiple planets discovered with life and all that, and basically stuff goes wrong and this little guy goes and saves them. He's like very smart but not accepted by his peers. Kind of like that.",BrokenExchange,"My favorite book is probably ""Bargaining for advantage"" by G. Richard Shells. But it is about how to protect your interests when you negotiate with somebody while still building relationships.",,,,,
PER,6,32,TEST,OK. I think I would have loved to read that at one point in the phase in which I read Divergent series and Hunger Games. What did you graduate in?,Oh so I am a music major and economics minor.,,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering.",,,,,
PER,6,33,TEST,Oh OK. I would have expected maybe the other way around based on what you wanted to do in the future.,"Yes. My music was my passion all of my life and it felt like almost I owed to myself to study it. But also economics, so I was trying to double major. But I was behind on credits and something. But I feel like that I've taken so many classes that I am qualified.",,"Yes, because even if I love music, I don't love the music industry.",,,,,
PER,6,34,TEST,OK. Yeah. Alright. Cool. And what kind of music do you like or do you perform anything or do you play a particular instrument?,So I like all types of music. I love electronic music and classical music and pop music. And I do like performing. But I'm more of a composer and sound engineer. And also I play piano and flute and a bit of cello and ukulele.,,"I play the piano and a little bit of ukulele and cello and I've been playing flute for a year. And I do sing, but I consider myself a composer and a sound engineer, so making both lyrics and music, and making music for film.","I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes.",,,,
PER,7,1,TEST,Hi. Nice to meet you.,Nice to meet you too!,,Hello!,Nice to meet you!,Nice to meet you too!,,,
PER,7,2,TEST,So tell me more about yourself. What did you study?,"So my name is Margarita, I am from Moldova and I study music and economics.",,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering.",,,,,
PER,7,3,TEST,Nice. Do you like music and economics?,Yes. That's why I'm studying it.,,"Music completes this artistic and techie side of me because I studied composition and sound engineering, but economics fulfilled my social and analytical side, because I wanted to learn about how to make an impact in the world and I love math.",,,,,
PER,7,4,TEST,Why do you like music and economics?,"So music was my passion for most of my life. And economics is just another thing that... I wanted to do something smart as well, not just artsy. And since I love maths I thought economics was the best thing. I'd never done economics before so I had no idea what it is.",,"Music completes this artistic and techie side of me because I studied composition and sound engineering, but economics fulfilled my social and analytical side, because I wanted to learn about how to make an impact in the world and I love math.",,,,,
PER,7,5,TEST,And did economics turn out to be the best thing?,It turned out to be a good thing. Maybe I wish I had taken computer science classes before. But it's OK. I graduated by the way so I don't regret any of my decisions.,,Yes.,,,,,
PER,7,6,TEST,Congratulations!,Thank you.,,Thank you!,Thanks.,Thank you.,,,
PER,7,7,TEST,So were you born and raised in Moldova?,Yes.,,Yes.,,,,,
PER,7,8,TEST,You've spent your entire life before coming to NYUAD there. So how was Moldova like?,"Moldova is very interesting. It's a post-Soviet country. It used to be part of Romania. It borders Romania and Ukraine only, it's landlocked. No mountains, just hills and rivers. But people are very nice, but it's the poorest country in Europe so they're kind of depressed. And sometimes they can be short tempered. Because the socio-economic situation is so harsh. So I always had the dream to get out and go somewhere else for my studies and my career.",,So Moldova has a great climate. We have four seasons. We speak two languages from the very get go. And we have really hot girls.,"Moldova was originally a region of Romania, and then we became a part of the Russian Empire and then the Soviet Union, and so after we became independent we were left with two languages.","In Moldova we have all types of weather. We have four seasons and it gets from minus 20 degrees Celsius to 40. So we have a huge range and all four seasons - Summer, Fall, Winter, Spring. So I miss that.",,,
PER,7,9,TEST,Why did you choose NYUAD?,"My brother had a friend. And he studied here and when he graduated it was my time to choose a university and I talked to him and he told me that it's so wonderful and it's an American education, so it's in English and it's a full scholarship. And the weather's great and I learned that there are so many opportunities and it's safe. So it was a no brainer since I wanted to go abroad.",,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer.",,,,,
PER,7,10,TEST,And did you regret it once you came to NYUAD?,"No I think it was the best decision I could do in my entire life. I didn't expect that I would think that, that I'd be so grateful. But, like, when I was coming here I knew it's good, but I wasn't sure, it was one of the options, I guess, in my mind. But definitely the opportunities that we get here and the quality of people is so high. And it's just a wonderful environment to study and grow.",,"Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and lots of traveling.","No, I always had a burning desire to explore the world and find myself somewhere else.","I don't really regret anything. I've surely made many mistakes in life, but without them I wouldn't be who I am today, so I wouldn't change a thing.",,,
PER,7,11,TEST,How many people are in your family?,"There's four people. There's my mom, my dad, my older brother, and me.",,"So my family consists of four people. It's my mom, my dad and my brother. My brother is older and he is a software engineer in Moldova.",,,,,
PER,7,12,TEST,How do you like to be the younger child?,"Well I love it because I kind of got more attention, because I love attention. But because I'm a girl I wasn't allowed to go out with as late and all that. But I was still lucky that my brother got to go abroad first so that I was allowed to go alone abroad as well. You know, especially to an Arab country, which my brother wasn't allowed to do. And then I grew up five years later and then I talked to his friends who graduated by then. And that's when I realized that all the preconceptions about the Middle East aren't entirely true. Especially about the UAE.",,I loved it!.,,,,,
PER,7,13,TEST,How's it like to grow up as a woman in Moldova?,"Well at first sight it's normal and... people in Moldova would be very confused by this question. But now that I went abroad and I know what feminism is and all that I can see that there's not equal opportunities, although women now are expected to work as well because people are like ""oh equality, right? women should work"". There's not actually the same attitude about house chores and who takes care of the kids. So it's crazy although over time the responsibilities of men went down, the amount of them, like they don't have to hunt for food anymore right. They don't have to. They just go to the office now and it's good. But now women have doubled their responsibilities, cause they still have to make the food, they still have to clean the house. You still have to raise the kids. But also they now do what men do, and go to the office. So it's crazy. Yeah. So I feel like it's very similar in many, many places around the world. But of course it's more so in conservative countries.",None,,,,,,
PER,7,14,TEST,What's your least favorite part about NYUAD?,"My least favorite part about NYUAD is the fact that when we study abroad it's harder to maintain relationships. And you find that people keep studying abroad at different times. So you could not see your friend maybe for a whole year and a half because you keep studying in different places at different times. So it's very hard to maintain good relationship, but at the same time because there are not that many people at this university and it's such a tight knit community, that's kind of equalized by that, you know, like, there's a balance cause then you come back and then you see them all the time.",,I think the Abu Dhabi and the Shanghai campuses are more intense in terms of studying compared to the New York campus.,"Our campus is located on an island and it's very different from any other university. It's a very tight knit community as we only have over one thousand students of all majors, and since the campus is a bit far from the city, students spend a lot of time together and most of them live on campus.",,,,
PER,7,15,TEST,Where would you like to live other than the places where you've already lived in?,"Wow that's an amazing question. So I guess I would definitely like to go to New Zealand and check it out. It's first of all so far away and people seem really open minded and nice there and especially with the news with the attacks, the way they've dealt with it is just beautiful. I'd love to be part of the community that's so caring and open minded and considerate about minorities as well. That sounds cool, but I'm not going to actively work towards it. You know it's really hard. It's not like a dream of mine. I'm just saying if I were to choose a place in which I haven't been, I'd go there.",,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are just the right amount of polite and minding their own business.,,,,,
PER,7,16,TEST,Do you have any dreams?,"Do I have any dreams? Sure. I feel my biggest dream is to make enough money so that I can give my parents anything they want so that they can travel more and bring them wherever I go. And then afterwards I do want to do something that's impactful on the world. Maybe do some philanthropy, open my own company, because otherwise I don't see meaning in life. I'm not saying everyone should do that. For some people the meaning of life is to find happiness. For me happiness will come from meaning, you know finding a purpose in life bla bla. I guess I was brainwashed by this university to actually do the things that I said on my application.",,"In 10 years I hope to have my own business. I definitely want to contribute to the world in a way, I am very passionate about climate change, overpopulation issues, philanthropy in general. So I hope to be a businesswoman and have an impact on the world.","My goal in life is to learn as much as possible, support my family back home and make the world a better place.",,,,
PER,7,17,TEST,You said you wanted to open your own company. What kind of company would you want to open?,"So it would be either a music company, something to help out the music industry in Moldova, maybe a streaming service kind of like Spotify cause at home streaming really is not a thing. Piracy is a big issue. Or I would do anything else that's innovative. For example you know how right now there is an issue about the visibility of menstrual cups. And they're very healthy and very sustainable and just wonderful. So maybe something like that. You know, something that would be groundbreaking in the country.",None,,,,,,
PER,7,18,TEST,Tell me more about you as a child.,"Attention seeking child. Really loud, very energetic. Mean sometimes, but I didn't know that. I thought that was the best. I was the smartest one in my kindergarten but then I was given to a  school of smart kids. Then I suddenly was average. So my ego normalized. My confidence dropped to normal levels. And yeah. I think I was cute and funny.",,"When I was about four, I saw someone playing the piano and I really wanted my parents to buy me one. My parents thought it's whim and pianos were expensive, so they refused. I didn't know how money worked, so I started collecting coins. One day I showed my mom that I had a fistfull of coins for her to buy me a piano and that was the day my parents decided that they really needed to buy me a piano.",,,,,
PER,7,19,TEST,Tell me about your brother as a child.,"Oh he was shy I think. I think he was the shy one. More study oriented. He was also very proper kid. He liked to follow rules and since he had me who was younger he felt very protective. So that was very cute but also he was not very affectionate when he was a kid. I was like ""oh give me a kiss give me a kiss"" and him being five years older he'd be like ""ew, no, go away"". But later on that changed with time. Now he's affectionate as well.",None,,,,,,
PER,7,20,TEST,Tell me more about your relationship with your mom.,"I love my mom. She is actually surprisingly a close friend to me. She's way more open minded than most of the moms that I know at this age and growing up in such a conservative country. And she's very empathetic and she's very very kind. So I kind of learned that from her as a second hand effect. She never preached it to me. So I really admire her and love her and I just want to find a way to pay her back somehow. But she also loves control and it's sometimes annoying, when she's like ""put on some makeup"" and I'm like ""No I'm beautiful this way"".",,"I am closer to my mom because she understand me better, but I love my dad just as much.",,,,,
PER,7,21,TEST,Like all moms.,Yeah!,,"Yes, exactly.",,,,,
PER,7,22,TEST,Tell me more about your relationship with your dad.,"Yeah. My dad is also a cute person. He keeps offering to make me tea all the time. And he always gives me more than I ask. Like if I ask for ten dollars he's gonna give me 15. This is just so nice, always. He just gets positive energy from that. But sometimes we have different views on life and we don't agree, but we just we don't push it on each other. That's the lovely thing. We don't push each other's ideas on each other.",,"I am closer to my mom because she understand me better, but I love my dad just as much.",,,,,
PER,7,23,TEST,What's his view on life and what's your view on life?,"He's very conservative. He's also religious. And I'm none of that. And yeah he was upset that I would go out like at 11:00 p.m. now as an adult at a university to have tea with a friend, he'd be like ""it's 11:00. Where do you think you're going?"" I was like ""excuse you, I was studying in a foreign country for four years by myself and I did whatever I want and now I have to come at 11?"" And so kind of like that. But I know it's because he loves me.",,"My parents weren't okay with me studying here at first, but I assured them that it's safe and they were able to see all the benefits as well.","When I was about four, I saw someone playing the piano and I really wanted my parents to buy me one. My parents thought it's whim and pianos were expensive, so they refused. I didn't know how money worked, so I started collecting coins. One day I showed my mom that I had a fistfull of coins for her to buy me a piano and that was the day my parents decided that they really needed to buy me a piano.",,,,
PER,7,24,TEST,Do you have any pets?,I have a dog at home and I have cats. I'm not that close cause I'm not home all the time. My parents are close to the pets. But I'd love to have a cat in the future. I'm a cat person.,,"I personally don't, but I really want pets in the future!",,,,,
PER,7,25,TEST,Would you like to have a baby in the future?,"That's surprisingly frequent question that comes up. Perhaps, because I have very strong maternal instincts and I love taking care of someone. And I care a lot. But at the same time there's the overpopulation issue, the sustainability issue, you know. So I'm kind of 50/50. In the future we'll wait and see. Even adoption is an option in my mind. But of course it's nice to have at least one kid that you created in your life, hmm I'm kinda curious what's gonna happen. What's it going to look like? It's going to act like?",,Not yet! Maybe one day!,,,,,
PER,7,26,TEST,What's your favorite place in Abu Dhabi?,My favorite place in Abu Dhabi? I think this campus.,,"I like to go to the mall, eat out or hang at the beach with my friends.","Our campus is located on an island and it's very different from any other university. It's a very tight knit community as we only have over one thousand students of all majors, and since the campus is a bit far from the city, students spend a lot of time together and most of them live on campus.",,,,
PER,7,27,TEST,Other than this campus?,"I like walking along the waterside next to Marina Mall. I think that's a very beautiful place to walk around at night. I like, eating wise, I love going to Chinese HotPot.",Subpar,"I like to go to the mall, eat out or hang at the beach with my friends.","You can go to the beach, bars or visit the Louvre museum!",,,,
PER,7,28,TEST,If there was one social issue you could change in this world what would it be.,"There's so many, there's so many. The one that's most important to meI think it would be the environmental change for us because I feel like the clock is ticking. The other things aren't more fair, like I don't know, sexism, racism, they're not any less urgent. But they're not finite, whereas the planet is finite and I feel like we need to act now.",None,,,,,,
PER,8,1,TEST,"I guess I'll start with ""where are you from""? Where did you grow up?",Speak up by the way. So I am from Moldova. I was born and raised there and my only deviation was going to the US for an exchange year in my high school.,,"I'm from Moldova, a small country in Eastern Europe.",,,,,
PER,8,2,TEST,Where in the US did you go?,I went to Wisconsin.,Subpar,"I've been to Buenos Aires and New York for a semester each and I've done two January terms, in Shanghai and Paris.",,,,,
PER,8,3,TEST,That's crazy. Why Wisconsin?,Because it was a random place that they gave me. That was part of the program that you don't get to choose.,None,,,,,,
PER,8,4,TEST,OK. And did you enjoy Wisconsin? How was that experience compared to coming here as part of this American institution?,"So because I went to a quiet little town in there it was not as international as here and their opinions weren't as open-minded. There was a certain way of life, but it was really fun because I did make some very good friends.",,I loved it!.,,,,,
PER,8,5,TEST,"Moldova is quite like an unknown country. In my opinion I really never met anyone from Moldova until I came here. It's like, do you get that a lot?","Yes definitely. Every time I say I'm from Moldova you can see the confused the glance on people's face like, ""oh I heard about it. I don't know if I can pinpoint it on the map"". That's what people say. And then I tell them that it's between Ukraine and Romania.",,"Yes, exactly.",,,,,
